id,entity_id,entity_label,relation_id,relation_label,question,span
1,Q12439,Detroit,P19,place of birth,who is a musician born in detroit,"[0, 0, 0, 0, 0, 0, 1]"
2,Q6817891,Mera Shikar,P364,original language of film or TV show,what is the language in which mera shikar was filmed in,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
3,Q1297,Chicago,P276,location,Whats the name of a battle that happened in chicago,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
4,Q193592,midfielder,P413,position played on team / speciality,what player plays the position midfielder?,"[0, 0, 0, 0, 0, 1]"
5,Q6849115,Mike Twellman,P413,position played on team / speciality,what is the position that  mike twellman plays,"[0, 0, 0, 0, 0, 1, 1, 0]"
6,Q842256,musical film,P136,genre,list some musical films,"[0, 0, 1, 1]"
7,Q7273,Ellen Swallow Richards,P27,country of citizenship,what is ellen swallow richards's nationality?,"[0, 0, 1, 1, 1, 0]"
8,Q247643,Elementary,P364,original language of film or TV show,What language is the show elementary broadcast in?,"[0, 0, 0, 0, 0, 1, 0, 0]"
9,Q6135854,James Hendry,P21,sex or gender,what is the gender of james hendry?,"[0, 0, 0, 0, 0, 1, 1]"
10,Q2405480,voice actor,P106,occupation,who was a voice actor?,"[0, 0, 0, 1, 1]"
11,Q145410,1893 Jakoba,P196,minor planet group,What is a member of the 1893 jakoba asteroid group?,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
12,Q4921907,Black Star at the Point of Darkness,P175,performer,What artist includes black star at the point of darkness in his work?,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
13,Q1698,Serge Gainsbourg,P175,performer,Name an album by serge gainsbourg,"[0, 0, 0, 0, 1, 1]"
14,Q237514,Laura Ingalls Wilder,P50,author,what is a book by laura ingalls wilder ,"[0, 0, 0, 0, 0, 1, 1, 1]"
15,Q388408,Endless Love,P344,director of photography,Who was the cinematographer for the film endless love?,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
16,Q93204,documentary film,P136,genre,what is a documentary film about the media,"[0, 0, 0, 1, 1, 0, 0, 0]"
17,Q3643721,Brandon Reilly,P136,genre,what musical genre does  brandon reilly create,"[0, 0, 0, 0, 1, 1, 0]"
18,Q7063408,Notre Dame Fighting Irish men's basketball,P641,sport,What sport does notre dame fighting irish men's basketball play,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
19,Q71277,Rudi Ball,P19,place of birth,where in germany was rudi ball born in?,"[0, 0, 0, 0, 1, 1, 0, 0]"
20,Q101625,Marrakesh,P421,located in time zone,what time zone is marrakech in?,"[0, 0, 0, 0, 0, 0]"
21,Q5667368,"Harry Blackstone, Jr.",P27,country of citizenship,"which country does harry blackstone, jr. come from","[0, 0, 0, 1, 1, 1, 0, 0]"
22,Q734861,Valeria Richards,P21,sex or gender,what is valeria richards's gender?,"[0, 0, 1, 1, 0]"
23,Q55442,Liliana Cavani,P57,director,what movie did liliana cavani direct?,"[0, 0, 0, 1, 1, 0]"
24,Q3986646,The Dog Island,P136,genre,What kind of video game is the dog island,"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
25,Q7749083,The Loves of the Gods,P170,creator,who created the loves of the gods,"[0, 0, 1, 1, 1, 1, 1]"
26,Q36322,Jane Austen,P50,author,What did jane austen write?,"[0, 0, 1, 1, 0]"
27,Q234472,Estella,P27,country of citizenship,What is the nationality of estella warren?,"[0, 0, 0, 0, 0, 1, 0]"
28,Q43,Turkey,P17,country,what is a second level division of turkey,"[0, 0, 0, 0, 0, 0, 0, 1]"
29,Q710600,Eugênio Sales,P21,sex or gender,what gender does eugênio sales identify as ,"[0, 0, 0, 1, 1, 0, 0]"
30,Q1297,Chicago,P19,place of birth,Name a person born in chicago.,"[0, 0, 0, 0, 0, 1]"
31,Q668083,Seven Wishes,P175,performer,who is the artist on seven wishes,"[0, 0, 0, 0, 0, 1, 1]"
32,Q154581,Gangs of New York,P86,composer,who wrote the music for gangs of new york,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
33,Q1348496,Sophie Merry,P21,sex or gender,what is the gender of sophie merry?,"[0, 0, 0, 0, 0, 1, 1]"
34,Q6836909,Michelle Ashford,P58,screenwriter,what is an episode written by michelle ashford,"[0, 0, 0, 0, 0, 0, 1, 1]"
35,Q56094,Francis Ford Coppola,P86,composer,what movies has francis ford coppola contributed music to,"[0, 0, 0, 1, 1, 1, 0, 0, 0]"
36,Q1120576,Communist Party of Britain,P1142,political ideology,which is the main ideology of the communist party of britain?,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
37,Q222052,center,P413,position played on team / speciality,what former basketball played the center (basketball) position,"[0, 0, 0, 0, 0, 1, 0, 0]"
38,Q1219013,Thunderbolt and Lightfoot,P58,screenwriter,Who wrote the film thunderbolt and lightfoot?,"[0, 0, 0, 0, 1, 1, 1]"
39,Q6249503,John Morris Russell,P19,place of birth,where in the united states was john morris russell born,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
40,Q2023740,Imam Mustafayev,P21,sex or gender,what is imam mustafayev's gender,"[0, 0, 1, 1, 0]"
